53,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,19,11,11,11
8,8,8,8,8,8,8,8,8,8,28,29,30,31,8,8,8,24,52,53,54,27,19,19,19
16,16,16,28,29,30,31,16,16,16,28,28,28,29,28,28,29,30,60,61,62,27,27,27,27
24,24,24,24,24,24,24,24,24,24,24,24,24,24,28,29,30,31,31,31,24,37,38,39,24
27,27,27,27,27,27,27,27,19,19,19,24,25,26,27,27,27,27,27,27,27,45,46,47,27
16,6,7,24,28,29,30,31,27,27,27,27,27,27,27,27,27,27,27,27,36,27,52,53,54
24,14,15,25,26,27,11,11,11,36,5,6,3,3,3,3,36,3,3,3,44,3,60,61,62
27,19,19,28,29,30,31,5,6,44,13,14,11,11,11,11,44,11,11,11,30,30,11,11,11
26,27,27,27,27,27,27,13,14,27,19,19,19,19,19,19,19,19,36,20,30,20,20,19,19
16,16,16,16,16,16,16,24,25,26,27,27,27,27,27,32,32,33,34,35,20,27,20,27,27
24,24,24,32,33,34,35,24,25,26,27,11,28,28,29,40,40,41,42,43,11,11,11,11,11
25,26,27,40,41,42,43,19,19,19,19,19,19,19,19,37,38,39,19,19,19,19,19,19,19
8,8,8,16,24,25,26,27,27,27,27,6,7,27,27,45,46,47,20,21,22,27,27,27,27
16,16,6,7,24,24,25,26,27,36,11,14,15,16,16,16,16,8,28,29,30,8,8,0,1
0,0,14,6,7,26,52,27,19,44,19,11,11,3,3,36,3,1,37,37,37,37,38,39,3
0,0,0,6,6,7,60,27,6,7,27,19,19,11,11,44,11,3,45,45,45,45,46,47,11
8,8,8,14,6,7,8,24,14,15,27,27,27,19,19,19,6,7,11,11,6,7,3,19,19
16,52,53,16,14,15,16,16,16,16,6,7,26,27,27,27,14,15,19,19,14,15,0,0,0
24,60,61,24,24,24,24,24,6,7,14,15,24,24,52,52,53,54,27,27,52,53,54,8,0
27,19,19,11,11,11,11,3,14,15,3,3,24,24,60,60,61,62,24,16,60,61,62,16,8
